geoid,year,measure,value,moe,Unnamed: 0
51760030100,2021,employment_access_index,0.413,,1
51710004800,2021,employment_access_index,0.254,,2
51760020200,2021,employment_access_index,0.185,,3
51770002502,2021,employment_access_index,0.126,,4
51710004200,2021,employment_access_index,0.251,,5
51760030501,2021,employment_access_index,0.437,,6
51760020100,2021,employment_access_index,0.258,,7
51710004100,2021,employment_access_index,0.265,,8
51730810100,2021,employment_access_index,0.046,,9
51700030100,2021,employment_access_index,0.087,,10
51740211800,2021,employment_access_index,0.127,,11
51710003501,2021,employment_access_index,0.232,,12
51003010904,2021,employment_access_index,0.104,,13
51013101704,2021,employment_access_index,1.0,,14
51013101408,2021,employment_access_index,0.574,,15
51760020400,2021,employment_access_index,0.321,,16
51740210500,2021,employment_access_index,0.124,,17
51059451400,2021,employment_access_index,0.331,,18
51760040300,2021,employment_access_index,0.426,,19
51013102701,2021,employment_access_index,0.408,,20
51760060800,2021,employment_access_index,0.107,,21
51590000400,2021,employment_access_index,0.027,,22
51730810600,2021,employment_access_index,0.038,,23
51059451601,2021,employment_access_index,0.305,,24
51730810700,2021,employment_access_index,0.041,,25
51760010300,2021,employment_access_index,0.128,,26
51510201206,2021,employment_access_index,0.423,,27
51013103505,2021,employment_access_index,0.63,,28
51700030600,2021,employment_access_index,0.093,,29
51013103503,2021,employment_access_index,0.659,,30
51760021000,2021,employment_access_index,0.112,,31
51710005100,2021,employment_access_index,0.144,,32
51650011400,2021,employment_access_index,0.085,,33
51087200805,2021,employment_access_index,0.12,,34
51013103602,2021,employment_access_index,0.581,,35
51700030800,2021,employment_access_index,0.126,,36
51760060900,2021,employment_access_index,0.091,,37
51590000500,2021,employment_access_index,0.042,,38
51013101603,2021,employment_access_index,0.914,,39
51760070601,2021,employment_access_index,0.106,,40
51700030400,2021,employment_access_index,0.094,,41
51105950301,2021,employment_access_index,0.002,,42
51740212100,2021,employment_access_index,0.15,,43
51059461902,2021,employment_access_index,0.238,,44
51800065500,2021,employment_access_index,0.034,,45
51710000902,2021,employment_access_index,0.055,,46
51760060700,2021,employment_access_index,0.131,,47
51710002900,2021,employment_access_index,0.175,,48
51800065100,2021,employment_access_index,0.04,,49
51710001300,2021,employment_access_index,0.08,,50
51710002700,2021,employment_access_index,0.187,,51
51680001100,2021,employment_access_index,0.073,,52
51680000600,2021,employment_access_index,0.076,,53
51710004300,2021,employment_access_index,0.204,,54
51041100406,2021,employment_access_index,0.049,,55
51590001000,2021,employment_access_index,0.037,,56
51710005701,2021,employment_access_index,0.092,,57
51041100404,2021,employment_access_index,0.051,,58
51770001000,2021,employment_access_index,0.124,,59
51510201205,2021,employment_access_index,0.439,,60
51595890100,2021,employment_access_index,0.012,,61
51550020100,2021,employment_access_index,0.12,,62
51013101804,2021,employment_access_index,0.726,,63
51710002500,2021,employment_access_index,0.145,,64
51620090200,2021,employment_access_index,0.014,,65
51510200102,2021,employment_access_index,0.312,,66
51121020301,2021,employment_access_index,0.052,,67
51770002600,2021,employment_access_index,0.125,,68
51013102001,2021,employment_access_index,0.546,,69
51510200304,2021,employment_access_index,0.293,,70
51760030200,2021,employment_access_index,0.433,,71
51680000400,2021,employment_access_index,0.055,,72
51510200106,2021,employment_access_index,0.349,,73
51013101705,2021,employment_access_index,0.882,,74
51510200108,2021,employment_access_index,0.286,,75
51810045810,2021,employment_access_index,0.1,,76
51013103300,2021,employment_access_index,0.542,,77
51710004600,2021,employment_access_index,0.151,,78
51770000900,2021,employment_access_index,0.076,,79
51520020201,2021,employment_access_index,0.042,,80
51810040600,2021,employment_access_index,0.155,,81
51700032300,2021,employment_access_index,0.026,,82
51059415401,2021,employment_access_index,0.144,,83
51700032006,2021,employment_access_index,0.078,,84
51710001400,2021,employment_access_index,0.09,,85
51710003400,2021,employment_access_index,0.178,,86
51730810400,2021,employment_access_index,0.041,,87
51680000700,2021,employment_access_index,0.071,,88
51760071004,2021,employment_access_index,0.126,,89
51710001100,2021,employment_access_index,0.056,,90
51013101701,2021,employment_access_index,0.789,,91
