geoid,year,measure,value,moe,Unnamed: 0
51760030100,2021,material_deprivation_indicator,0.0,,1
51710004800,2021,material_deprivation_indicator,0.273,,2
51760020200,2021,material_deprivation_indicator,0.175,,3
51770002502,2021,material_deprivation_indicator,0.332,,4
51710004200,2021,material_deprivation_indicator,0.333,,5
51760030501,2021,material_deprivation_indicator,0.455,,6
51760020100,2021,material_deprivation_indicator,0.37,,7
51710004100,2021,material_deprivation_indicator,0.394,,8
51730810100,2021,material_deprivation_indicator,0.434,,9
51700030100,2021,material_deprivation_indicator,0.443,,10
51740211800,2021,material_deprivation_indicator,0.448,,11
51710003501,2021,material_deprivation_indicator,0.315,,12
51003010904,2021,material_deprivation_indicator,0.462,,13
51013101704,2021,material_deprivation_indicator,0.429,,14
51013101408,2021,material_deprivation_indicator,0.442,,15
51760020400,2021,material_deprivation_indicator,0.526,,16
51740210500,2021,material_deprivation_indicator,0.474,,17
51059451400,2021,material_deprivation_indicator,0.306,,18
51760040300,2021,material_deprivation_indicator,0.474,,19
51013102701,2021,material_deprivation_indicator,0.42,,20
51760060800,2021,material_deprivation_indicator,0.509,,21
51590000400,2021,material_deprivation_indicator,0.512,,22
51730810600,2021,material_deprivation_indicator,0.513,,23
51059451601,2021,material_deprivation_indicator,0.393,,24
51730810700,2021,material_deprivation_indicator,0.476,,25
51760010300,2021,material_deprivation_indicator,0.518,,26
51510201206,2021,material_deprivation_indicator,0.45,,27
51013103505,2021,material_deprivation_indicator,0.576,,28
51700030600,2021,material_deprivation_indicator,0.303,,29
51013103503,2021,material_deprivation_indicator,0.556,,30
51760021000,2021,material_deprivation_indicator,0.568,,31
51710005100,2021,material_deprivation_indicator,0.514,,32
51650011400,2021,material_deprivation_indicator,0.574,,33
51087200805,2021,material_deprivation_indicator,0.547,,34
51013103602,2021,material_deprivation_indicator,0.51,,35
51700030800,2021,material_deprivation_indicator,0.569,,36
51760060900,2021,material_deprivation_indicator,0.488,,37
51590000500,2021,material_deprivation_indicator,0.573,,38
51013101603,2021,material_deprivation_indicator,0.567,,39
51760070601,2021,material_deprivation_indicator,0.509,,40
51700030400,2021,material_deprivation_indicator,0.536,,41
51105950301,2021,material_deprivation_indicator,0.48,,42
51740212100,2021,material_deprivation_indicator,0.319,,43
51059461902,2021,material_deprivation_indicator,0.41,,44
51800065500,2021,material_deprivation_indicator,0.519,,45
51710000902,2021,material_deprivation_indicator,0.729,,46
